particle n.微粒,极小量
timescale n. 时标, 时间量程
far-reaching a.深远的
left-hand a. 左手的,左边的
middle-class a.中产阶级的
sailfish n. 旗鱼
marlin n. 枪鱼
swordfish n. 旗鱼
renewal n.更新, 恢复
eurasian a.  欧亚的, 欧亚人的
buoyant a.有浮力的, 轻快的
slick a.圆滑的；精巧的
kinship n.  血族关系
domestication n.  驯养, 教化
blur v.弄脏.n.污点, 模糊
replenish v.  补充
tutelage n.  监护
freudian n./a,佛洛伊德学说(的)
pent-up a.幽闭的,被压抑的
blubber n.鲸脂,哭号v.哭号
basalt n.玄武岩
predation n.掠食
boule n.  人造宝石，议会
trance n./v.恍惚；出神
vigorously ad.精力旺盛地；健壮地
underlies v.位于 ... 之下, 成为 ... 的基础
telecommunication n.电信，远程通信
recur vi.再发生，重现
reset v.  重新安排
constructive a. 建设性的,构造上的
habituation n.  适应
permanence n.  永久, 持久
tine n. (尖)齿, 叉
briefly ad.简短地；简略地
precipitate vt.促成；使沉淀 n.沉淀物
norwegian a.  挪威的 n.  挪威人, 挪威语
joiner n.  工匠
patronage n.赞助；光顾(买东西)
carman n. 车夫,司机
incise vt. 切入, 切割
mexican n./a.墨西哥(的)， 墨西哥人(的)
crumple v.(使)皱，扭曲；(使)崩溃
developmental a.发展的, 进化的
saline a.含盐的；咸的
minimal a.最小的, 最小限度的
newborn n.  婴儿
opposition n.  反对,相反
chapbook n.  畅销故事书
manhattan n.  曼哈顿岛(美国纽约一区)
devastate vt.  毁坏
holland n.  荷兰
arcade n.拱廊
navigational a. 导航的, 航行的
deterioration n.  变坏, 退化
taxes n.   赋税,  税收
meticulously ad.仔细地,谨慎地
configuration n.构造, 结构
unaided a.未受协助的, 独立的
concave a.凹的 n.凹(面)
beak n.  鸟嘴, 喙
legendary a.闻名的；传说的
congressional a.会议的；国(议)会的
abstraction n.  提取
eel n. 鳗鱼
camouflage v./n.  伪装
adverse a.不利的，有害的
cylindrical a.圆柱形的
stimulation n.激励,刺激
built-in a.嵌入的,内装的
close-up n.   特写镜头,  细致的观察
collaboration n.合作，协作
waterpower n. 水力(水力发电)
pollen n.  花粉
firmly ad.坚固地，稳定地
defensive n./a.防御(的)
symbolize v.象征
brea n. 布雷亚(美国加州地名)
exocrine a.[医]外分泌的
overlie v.躺在...上面
participation n.参加，参与
detectable a.可发现的,可察觉的
toolmaker n.精密工具制造者
printmaking n.  版画复制(术)
populous a.人口稠密的
wallpaper n.墙纸
igloo n.  圆顶建筑
formalize vt.  使正式, 形式化
geographer n.  地理学者
continuity n.连续性, 连贯性
meteoric a. 流星的,大气的
recipient n.接受者，接收者
michigan n.  密歇根州(美国州名)
vie v.竞争
exceptionally ad.格外地, 特别地
fieldstone n. 散石,大卵石
imperial a.帝国的，帝王的
defenseless a.无防备的
lumiere n. 彩色照相术
accompaniment n.  陪伴物, 伴奏
repetitive a.重复的,反复的
mule n.骡子,十分固执的人
prone a.易于…的，很可能…的
individualism n.个人主义, 利己主义
krill n.[动]磷虾(单复同)
unevenly ad. 不平坦地, 不均衡地
drapery n.布业，布匹
nick n.小伤口，刻痕
ute n. 犹特人(美洲印第安人的一种), 犹特语
headquarter v.将...之总部设在
radiocarbon n.放射性炭
afield ad.远离着(家乡), 去远处
relocate v.  重新部署
enormously ad.极度,大量
saltwater a.盐水的, 海产的
deglaciation n. 冰消作用
glen n.峡谷, 溪谷
pangaea n. 泛古陆,  泛大陆
lys n.   [化]赖氨酸
sac n.〈生〉囊,液囊
midcontinent n.  大陆中部
mainstay n.支柱;骨干
connecticut n. (美国）康涅狄格
brilliance n.光辉，辉煌
oklahoma n.  俄克拉荷马州
rhinoceros n.  [动]犀牛
externally ad. 外部地, 外面地
plumb v.（用铅垂）测量,探测
trout n.鲑鱼
permian n./a.[地]二叠纪(的)
superintendent n.主管人，监管人
foraminifera n.  有孔虫类
domain n.领地,范围
agitate v.  搅动,煽动
farce n.闹剧；荒唐可笑
aborigine n.  土著居民
attest v.  证明
aggressiveness n. 进取精神, 侵犯
privately ad.秘密，一个人
lawlike a.似法律的
oppositely ad. 相反地, 相对地
anecdotal a.轶事的,趣闻的
right-hand a.右手的，右边的
synchronization n. 同步化
biographer n.  传记作者
creativity n.  创造(力)
joint-stock a.合资的, 股份组织的
curriculum n.  课程
anglo n. 盎格鲁, 英裔美国人
revival n. 复兴, 复活
hampshire n.  汉普郡(英国南部之一郡)
instinctive a. 本能的,直觉的
signaler n.  信号员
turbulence n.骚乱, 动荡
paradigm n.  范例
penchant n. 喜好(倾向)
sinkhole n.  污水池
neptune n.  [天]海王星
cyanide n.  [化]氰化物
gin n.杜松烧酒  v.开始
flax n.  亚麻
timer n.计时员, 定时器
supplant v.排挤，取代
harpsichord n.  大键琴
long-range a. 远程的, 长期的
revitalize v.  新生
clan n.氏族,部落
fictional a.虚构的,小说的
heterogeneous a.  异种的, 异质的
protrude v.  突出
recrystallize v. ( 使) 再结晶
warp v.弯曲,歪曲
nevada n.  内华达州(美国西部内陆州)
monetary a.货币的, 金融的
legislature n.立法机关
baboon n.  [动]狒狒
overgraze vt.  使过度放牧
embed vt.使插入, 嵌入
blowhole n. 喷水孔, 通风孔
imagist n./a. 意像派者(的)
receptor n.  接受器
magenta n./a.红紫色(的)
valse v.  轻轻地走.n. 华尔兹
discoverer n.  发现者
conifer n.  [植]松类, 针叶树
botanist n.  植物学家
narrator n.  讲述者
critically ad. 批评性地, 危急地
inca n. 印加人(古代秘鲁土著人)
variously ad.不同地, 各种各样地
incursion n.侵犯，入侵
decode vt.  解码, 译解
toll n.过路(桥)费
subside vi.下沉,平静
socially ad.社交上；社会上
inventory n.详细目录, 存货(清单)
chapel n. 小教堂
tenement n.公寓
daguerreotype n.(早期)银板照相
staple vt.订 a.主要的
fatty a. 脂肪的
disrupt vt.使中断，扰乱
rend v.撕裂，猛拉
maser n.  微波激射器
spinal a.脊椎骨.n.脊髓麻醉
generic a.种类的，类属的
resin n.  树脂 vt.  涂树脂于
carving n.雕刻(品)
distrust n./vt.不信任，怀疑
self-governing a.自治的
smother v.  窒息
high-pressure a.高压的
cavern n.洞穴，大山洞
minuscule n./a.草写小字(的)
envelop vt.包封, 遮盖
dormant a.冬眠的
coppersmith n.  铜匠
intrinsic a.内在的, 固有的
portability n.  可携带, 轻便
extermination n.  消灭, 根绝
suburbanization n. 市郊化
succulent a.多汁的
micron n.  微米,百万分之一米
publicize v.宣传
spout vt.喷出
catastrophic a.悲惨的, 灾难的
sensory a.知觉的, 感觉的
fodder n.  饲料, 草料
photoflash n. （照相）闪光灯
substantiated vt.证实, 实体化
cramp n.痉挛.vt.限制，束缚
reversal n. 翻转, 倒转, 反转
psychologically ad. 精神上地, 心理上地
virtuosity n.  艺术鉴别力
leafy a.叶状的；叶茂的
perishable a. 容易腐烂的
retract v.缩回, 撤销
israel n.  [地名] 以色列
retrieval n.取回，补偿
domelike a. 穹顶状的
savannah n.  (南美)大草原
navigator n.航海家
elliot n.  埃利奥特(男子名)
perry n. 梨子酒
arthropod n./a.节肢动物(的)
airflow n.  气流
momentum n.  动力, 势头
spearhead v.充当先锋
industrialism n.产业主义,工业制度
environmentally ad.在环境方面地
gem n.宝石, 珍宝
detract v.  转移
swirl n./v.旋转，漩涡
bluefin n.  金枪鱼
potent a.强有力的,有效的
sociobiology n.  生物社会学
ideological a.  意识形态的
providence n.深谋远虑，远见
catharsis n.宣泄，净化
contradictory a.相矛盾的
chloride n.  [化]氯化物
archaic a. 古代的, 陈旧的
aristocrat n.  贵族
spine n.脊柱
lade v.装载,装货
magnesium n.  [化]镁
engulf vt.吞没
frigid a. 寒冷的
grandiose a.宏伟的,堂皇的
despondent a. 失望的, 沮丧的
identifiable a.可辨认的
cellular a.细胞组成的，多孔的
universality n.  普遍性, 一般性
impressionism n. 印象派, 印象主义
symbolism n.象征主义
unreliable a. 不可靠的
hardness n.硬度
aerodynamic a.空气动力学的
alp n.  高山
dual a.双的, 二重的
craftsmanship n. 技术
affinity n.密切关系,类同
diagonal n./a.对角线(的)
nontraditional a.非传统的
disprove v.反驳,证明...为误
skeptical a.怀疑的
appropriately ad.适当地
emotionally ad. 感情上地, 冲动地
freshly ad.新近，刚才
unbelievable a.难以置信的
woodworker n.  木工
babylonian n. 巴比伦人(的), 巴比伦语（的）
urbanization n.  都市化
sulfur n.[化] 硫磺
volatile a.动荡不定的,反复无常的
densely ad.浓密地
biography n.  传记
inscribe vt.题写
intercity a.城市间的
erratic a.古怪的，飘忽不定的
overly ad.过度地, 极度地
uplift vt.提高；振奋(精神)
workday n.  工作日
officially ad.职务上, 正式
thunderstorm n.雷暴雨
deception n.  欺骗, 诡计
typify v.  代表
astronomical a.天文学的, 巨大的
self-sufficiency n. 自给自足
peregrine n.游隼 a.外来的,移住的
optimal a.最理想的
tapestry n.  挂毯
mechanization n.机械化
influx n.  流入
sculptural a.雕刻的
landmass n.  大陆
ornamentation n.装饰
self-sufficient a. 自给自足的
shiny a.发光的；磨光的
glassmaker n.  玻璃工人
spectacularly ad. 壮观地, 令人吃惊地
nss n.  卫星导航系统(供氮系统)
unclear a. 不清楚的
unimportant a.不重要的
ubiquitous a. 到处存在的
demise n.死亡,让位
conspicuous a.显著的, 显眼的
barter v.交易
nomadic a. 游牧的, 流浪的
merge v.结合,合并
texture n.质地；(材料等的)结构
seashore n.  海岸, 海滨
nonhuman a.非人类的
fairground n.游乐场, 集市
naturalism n.  自然主义
stance n.站姿，立场
contraction n.收缩
biotic a.有关生命的,生物的
maturity n.成熟,(票据)到期
granular a. 由小粒而成的,粒状的
preindustrial a. 未工业化的, 工业化前的
thaw n. 融化,解冻
quarry n.  采石场.vt.挖出
ethology n.动物行动学, 人种学
amendment n.  改善, 改正
forager n.强征(粮食)者
impend v.迫近，逼近
glasslike a.玻璃状的
translucent a.半透明的
topsoil n.表层土
interrelationship n.相互关系
buffer n.  缓冲器
outsider n.外行, 局外人
aragonite n.  [矿]霰石, 文石
modern-day a.当代的, 当前的
unaltered a.未被改变的
directional a.方向的
holding n.保持，固定
treeless a. 没有树木的
noticeably ad.显著地，显然
eradicate v.  根除
caste n.印度的世袭阶级
gosling n.小鹅，年轻无知的人
formally ad.  正式地, 形式上
antecedent a.先行的.n.祖先
long-standing a.长期存在的
disloyalty n.不忠实
nystatin n.[微]制霉菌素
prodigious a. 巨大的, 惊人的
mural a.墙壁的  n.壁画
gatherer n.  收集者, 收集器
shoemaking n.制鞋
electrically ad.用电力;有关电地
sprawl vi.伸开
petal n.  花瓣
technologically ad.  科技地
proportionately ad.相称地, 成比例地
germanium n.  锗
sparse a.稀少的, 稀疏的
mass-produce a. 大批生产的
statuary n.  雕象
hypha n.  [植]菌丝
farsighted a.有先见之明的, 远视的
fatten v.养肥；使肥沃
expanse n.广阔；宽阔的区域
pram n.  婴儿车
sanskrit n./ a.  梵语(的)
orbital a.  轨道的
hyksos n.希克索斯王朝(古埃及王朝之一)
arduous a. 费力的, 辛勤的
boulder n. 大石头
niche n.适当的位置,小生态坏境
bathhouse n.  公共浴室, 澡堂,
dilute vt.稀释，冲淡
imbalance n.不平衡,不均衡
ionize v.使离子化 ,电离
immigration n.移民入境
necessitate v.使 ... 成为必需,迫使
hollywood n.  好莱坞
demographic a.人口统计学的
accidentally a.意外的,偶然(发生)的
duct n.管道, 导管 .vt.用导管输送
mediate v.调停, 斡旋
bloodstream n.  血流
reelection n.  再选, 改选
midair n.  半空中
crocodile n.  鳄鱼, 鳄鱼皮
calve v.生小牛, (使)冰山崩解
integration n.  综合
usefulness n.  有用, 有效性
olfactory a.嗅觉的
cranial a.头盖(形)的
prerequisite n.  先决条件
occupational a. 职业的
updraft n.上升气流
deliberation n.仔细考虑；商量
flagpole n.  旗杆
invoke vt.恳求
hypersensitive a.过份敏感的
unavoidable a.不可避免的
upcoming a.即将来临的
lug vt.(用力)拖拉
broadly ad.  宽广地, 广泛
twain n.两, 双, 二
pathogen n.  [微生物]病菌, 病原体
memorable a.难忘的,重大的
auditory a.耳的, 听觉的
avant a.先锋的,激进的
tertiary a.第三的, 第三位的
inuit n.   因纽特人,  因纽特语
alga n.藻类,海藻
feldspar n.  [矿]长石
drought-resistant a. 抗旱的
romanticism n.  浪漫精神, 浪漫主义
needlework n.  刺绣, 缝纫
short-term a.  短期的
imposition n.  强迫接受
caribou n.  北美产驯鹿(=rangifer)
lifelong a.终生的
motionless a.不动的, 静止的
renewable a.可更新的, 可再生的
differentiate v.  区别, 区分
onset n.开始；攻击
connective a.连合的, 连接的
meaningless a.无意义的
capitalist a.资本主义的 n.资本家
cenotes n.天然井
mesquite n.豆科灌木
actively ad.活跃地, 积极地
seedling n.幼苗
constrict v.  压缩
electromagnetic a.电磁的
virginian n.  弗吉尼亚州的人
dryness n. 干燥
locale n.现场, 场所
rodeo n.马术竞技表演会, 将牛、马驱集在一起
mussel n.  [动]贻贝, 蚌类
cyan n.  蓝绿色, 青色
clam n. 蛤
usher vt.引，领，陪同
fusion n.熔化,融合
mismatch n./v.配错, 不相匹配
extol v.  赞美
chaos n.混乱，紊乱
prizefight n.  职业拳击赛
inactivity n. 不活动, 迟钝
unprotected a.无保护的, 未做防护措施的
spawn vi.产卵.n.卵
lobe n.耳垂，(肺，肝等的)叶
plummet n.  铅锤 vi.垂直落下
biologically ad. 生物学地
firearm n.火器,枪炮
communal a.公共的，集体的
boost v.  推进
linguist n.  语言学家
cortex n. 外皮, （大脑）皮层
objectively ad.客观地
chilly a.寒冷的
artifact n.  人造物品
curator n.管理者
tally n.记分  vi.符合
expertise n.专门知识(或技能等)，专长
originator n.创始人, 发起人
pacifier n.调停者，和解人
indus n. 印度河（印度西北部的河流）
asymmetrical a.不对称的,不均匀的
quantifiable a.可以计量的, 可量化的
pul n.  普尔(阿富汗辅币单位)
humanness n. 为人,人性
pinniped a.鳍足类的
companionship n.友谊
archaeocyte n.原始(生殖)细胞
incidental a.偶然的；附带的
intruder n.  入侵者
ornate a.华丽的, 装饰的
intentionally ad.有意地,故意地
impractical a.不切实际的,不实用的
rhetoric n.雄辩言辞,修辞学
clump n.(树，草)丛.v.使成一丛
immaturity n. 不成熟
understandable a.可理解的,能够懂的
overcrowd vt. 过度拥挤
opportunistic a.机会主义的, 投机取巧的
brine n.  盐水
naive a.天真的
jade n.玉，翡翠
lapis n.[化]天青石(常用于化学中的矿物命名)
breakthrough n.  突破
compositional a.合成的,组成的
ideologically ad. 意识形态上地, 思想上地
interpersonal a.人与人之间的, 人际关系的
afghanistan n.  阿富汗(西南亚国家)
lazuli n. 天青石
electronically ad.电子地, 通过电子手段
sewage n.污水, 污物
authorize v.  批准
imagery n.意象, 肖像
refreeze vt. 再结冰, 重新冻结
hydrologic a. 水文的
dietary a.饮食的.n.规定的食物
hydropower n.  水力发出的电力
granule n.小粒，微粒
recreational a.娱乐的, 消遣的
insecure a.不安全的,不稳固的
dealing n.  行为, 交易
circumvent vt.绕行,设法避开
chunk n.大块,相当大的部分（数量）
achondrite n.  不含球粒陨石
asset n.资产
navigable a.可航行的,可操纵的
multiplicity n.  多样性
laissez-faire n.(自由)放任主义
figuratively ad.比喻地
undermine v.  破坏
greener n. 生手
entrepreneurial a.   企业家的,  企业性质的
foliage n.树叶,植物
self-assertion n.   坚持己见,  自信
maximize vt.取...最大值, 最佳化
bushman n. 丛林居民
marshy a. 沼泽般的,湿软的
manifestation n.  显示, 表现
porcupine n.[动]豪猪
percussion n.  碰撞, 打击乐器
plausible a.似真实合理的
crisscross v. 交叉, 来回移动.n. 十字形
blink v./n.眨眼, 闪烁
rift n. 裂口.v. 裂开
myriad a.无数的 n.无数
three-toed n.  三趾啄木鸟
clavichord n.  翼琴(钢琴的前身)
trilobite n.  [古生]三叶虫
converter n.  转炉
sierra n.  [地]齿状山脊, [鱼]马鲛
legitimate a.合法的
horse-drawn a. 马拉的
octopus n.  章鱼
temporal a.现世的, 暂时的
unpredictability n. 不可预测性
minimalist n.  最低限要求者
magical a. 魔术的, 神奇的
storefront n.  店头, 店面
makeshift a.临时的.n.临时替代物
plight n.困境
cactus n.  [植]仙人掌
labor-saving a.  节省劳力的
improvise v.即兴创作
showman n. 戏剧制作人, 玩杂耍的
alaskan n.  阿拉斯加人 a. 阿拉斯加的
constrain vt.强迫, 限制
exploitation n.  开发, 开采
immeasurably ad.无法计量地, 无限地
perpetuate vt.使永存, 使不朽
afterlife n.来世, 后来的岁月
bask vi.晒太阳
shoemaker n.鞋匠
prairies n.   大草原
handicraft n. 手工艺(品)
logically ad.符合逻辑地, 逻辑上地
airstream n.气流
unsafe a.  不安全的
flashbulb n.  [摄]闪光灯泡
bovine a.(似)牛的，迟钝的
icicle n. 冰柱
unbroken a. 不间断的
funnel n.  漏斗,烟囱
fastidious a. 过分讲究的, 挑剔的
overshadow v.  遮蔽, 使...失色
inhospitable a.不好客的,不适于居住的
artistically ad. 艺术地, 在艺术上
pigmentation n.  染色
quincy n.   昆西(美国伊利诺斯州西部一城市)
rumen n.  瘤胃(反刍动物的第一胃)
aristocracy n.贵族（政治）
impair v.损害,削弱
broadleaf n.阔叶烟草,阔叶树
bluish a.带蓝色的
autobiographical a.自传的
parisian n./a.巴黎(人)(的)
halfway a.中途的. ad.半路地
corruption n.腐化；贪污
postwar a.  战后的
brant n.  黑雁
obsession n.  迷住, 困扰
scurry vi.疾行
subtropical a.  亚热带的
vancouver n.  温哥华（城市名)
megawatt n.  兆瓦特
arboreal a.树木的
multicellular a. 多细胞的
slop v.溢出, 溅溢
spontaneously ad. 自发地
limner n. 素描者
elective a.选举的,随意选择的
repertoire n.全部节目
swimmer n.  游泳者
protectionist n.保护贸易论(者)
husbandry n.管理
fortification n. 防御工事
vascular a.血管的,  脉管的
built-up a.组合的
glassy a.象玻璃的
unavailable a.难以获得的
sulfuric a.[化] 硫磺的,含硫的
latest a.  最近的
redefine v.重新定义
low-lying a.地势低洼的
instinctively ad.本能地
clearer a.  更清楚的
matrix n.  矩阵
huddle n./v.拥挤,挤作一团
epitome n.  摘要
subspecies n.  [生]亚种
dropstone n.  滴石
respondent n.应答者, 被告
portrayal n.  描画, 描写
hexagon n.  六角形, 六边形
poetic a.  诗歌的
undisturbed a.未受干扰的
ascent n.  上升,提高
talbot n.  [动]塔尔博特提猎狗
query n./v.质问,疑问
evoke vt. 唤起, 引起
amass v.积累，积聚
causal a.原因的
metalworker n.  金工工人
sinuous a.蜿蜒的
floral a.花的,像花的
incongruous a.不协调的,不一致的
adventurer n.  冒险家
personalize vt.个人化, 私人化
herbaceous a.草本植物的
sap n.树液  vt.耗尽
primordial a.原始的,最初的
oversee vt.监督，监管
deity n.  神, 神性
phosphorus n.  磷
unearned a.不劳而获的
burrow n.洞穴.v.挖地洞
infrequent a.不频发的,不常见的
acclaim n./v.喝采, 欢呼
peg n.小钉.v.钉，固定
yarn n.纱线.v.讲故事
plasma n.血浆
originality n.独创性
ford n.浅滩 v.  徒涉
mortise n.榫眼  v.用榫接合
microbial a. 微生物的,  由细菌引起的
ironwork n.铁制品
unearth v.  掘出
microbiologist n. 微生物学家
situate v.位于，坐落在
mallet n.  槌棒
guncotton n.  [军]强棉药
fathom n.  长度单位(6英尺)
pantomime n. 哑剧
alligator n.  产于美洲的鳄鱼
continuum n.  连续统一体
fairy-tale a.童话式的
adversely ad. 不利地,逆向地
indirectly ad.  间接地
domesticate vt.  驯养, 教化
philosophical a.哲学的, 达观的
aesthetically ad.有审美能力地
anthropology n.  人类学
functionalism n.  功能主义, 机能心理学
continuation n.继续(部分)；续篇
hydrodynamic a.水力的
shoreline n.  海岸线
sedge n.  [植]莎草
disproportionate a.不成比例的
lament n.悲伤v.哀悼
ancestral a.  祖先的
eligible a.有资格的, 合适的
best-known a.最有名的
estuary n.  河口, 江口
seismic a.[地]地震的
withdrawal n.  收回, 撤退
ember n.  灰烬, 余烬
sorghum n.  [植]高粱属的植物
paleoecologist n.古生态学家
fan-shaped a.扇形的
primal a.最初的
regulatory a.管理的, 控制的
isotopic a. 同位素的,合痕的
macdonald n.  麦当劳快餐店
locomotion n.  运动, 移动
persuasively ad.有说服力的
livable a. 适于居住的
dime n.  <美> 一角硬币
outlying a.远离中心的，偏僻的
ethological n.行为性的,  行为学的
disruption n.分裂
subsistence n.  生存, 生活, 留存
impetus n.推动力, 促进
grower n.种植者，栽培者
sophistication n. 老练, 精明
instructive a.有益的, 教育性的
mundane a.平凡的, 世俗的
raindrop n.  雨滴, 雨点
sunflower n.  [植]向日葵
doorway n.  门口
instigate v.  鼓动
gateway n.入口；通道
rigorously ad. 严格地
onrushing a. 猛冲的
tricycle n.  三轮车
hydrological a.水文学的
high-velocity n.   高速
constitutional a.法治的；体质的
orogeny n.  [地] 山岳之形成
administrator n.管理人,行政官
temporarily ad.  临时
befit vt. 适合
compost n.  混合肥料
collaborator n.  合作者
high-tech n.  高科技
residency n. 居住, 住所
cosmopolitan a.全球的,四海为家的 n.世界主义者
collaborative a.合作的, 协作的
refrigerate v.  使冷冻, 使冷藏
clergy n. 圣职者, 牧师
brewster n.  酿造者
lithograph n. 石版画, 平版印刷
yew n.紫杉, 紫杉木
wholesale n.批发.a.大规模的
adrift a./ad.漂流的,漫无目的
mystical a.神秘的
coerce vt.强制
eccentricity n.反常，怪癖
distasteful a.味道差的,反感的
durability n.  经久, 耐久力
stark a.荒凉的；严酷的.ad.完全
revere v.尊敬,敬畏
uniquely adv独特地, 唯一地
birch n.  桦树, 白桦
adaptability n.  适应性
caledonian n./a.  苏格兰人(的)
prohibitive a. 禁止的, 抑制的
prospector n.  探勘者, 采矿者
auditorium n.  听众席,观众席,
rote n.  死记硬背
skepticism n.  怀疑论
economist n.  经济学者
commandment n.  戒律
delineate v.  描绘
rugged a.高低不平的, 崎岖的
referent n.  指示物
inadequacy n.  不充分
gypsy n./a.吉普赛人(的),吉普赛语（的）
outwash n.  [地质]冰水沉积
crumble v.弄碎,崩溃
knap vt.敲击
basaltic a.玄武岩的
carbonic a.(含)碳的
lengthy a. 冗长的
intersect v.贯穿, 交叉
yale n.  耶鲁
redwood n. [植]红杉
connoisseur n. 鉴赏家
seriousness n.  严肃, 认真
preferentially a.优先的, 优待的
acquisition n. 获得(物)
sterile a.贫脊的,不结果的
preschool a.未满学龄的n.  幼儿园
smelt v.熔解，熔炼
streambed n.  河床
successional a.接连著的, 连续性的
drake n.  公鸭, 蜉蝣类
salinization n. 盐渍化
shrinkage n.  收缩
detachment n.冷漠, 脱离
gully n.小峡谷, 排水沟
inconclusive a.非决定性的,不确定的
innovator n.  改革者, 革新者
pulverization n.  弄成粉, 粉碎
homemaking n.  家政
necessitate vt.使成为必要，需要
intestine a.内部的,国内的
tavern n.  酒馆, 客栈
uncompetitive a.非竞争性的
tenfold a.十倍的 ad.成十倍
desiccation n.  干燥
shin n. 胫骨
mandarin n.官话,普通话
guilde n. 行会, 协会
iroquois n.易洛魁族人
ectotherm n.[动] 冷血动物,变温动物
vas n.  血管, 脉管
aqueduct n.  沟渠,导水管
triple n.  三倍数, 三个一组
ravage n./v.毁坏
befriend vt.待人如友,帮助
adaptable a. 能适应的,适应性强的
converge vi.聚合, 集中
phosphorescence n.  磷光
supervisor n.管理人；监督人
expanse n.广阔；宽阔的区域
portugal n.  葡萄牙(欧洲西南部国家)
invisibly ad. 看不见地, 看不出地
visibility n.  可见度
levy vt.征收(税等) n.征税
rye n.  裸麦
unpopular a.不流行的, 不受欢迎的
holocene n./a.[地]全新世(的)
titanium n.  [化]钛
tang v.  有浓味 n.  特殊气味
antagonism n.  对抗(状态), 对抗性
rehabilitation n.  复原
dramatize v. 编写剧本
leisurely a.从容地，慢慢地
minneapolis n.明尼苏达[美国州名]
ontario n.安大略湖[北美洲]
delft n.  代夫特(荷兰城市)陶器
unobtainable a.无法得到的,难获得的
utterly ad.完全地,绝对地
reddish a. 微红的
rejection n.  拒绝
outweigh v.  在重量(或价值等)上超过
chariot n.  战车
communicative a.健谈的,交流的
instrumentalist n.  乐器演奏家
loom n.织布机 vi.迫近
platelet n.  [解] 血小板
accrete v. 共生, 附着, 增加
bubbly a.  多泡的
metalwork n.  金属制品
bulldozer n.  推土机
politically ad.政治上地
alchemist n.  炼金术士
reelect vt.  重选, 改选
ensue vi.接着发生，接踵而来
tapeworm n.  [动]绦虫
languish vi.憔悴, 凋萎
mythology n.  神话
lateness n.  迟, 晚
amid prep.  在...中
mythological a.神话(学)的
newcomer n.新来的人；移民
gravitas n. 庄严(举止)
foresightedness n. 先见之明
prerecord vt.  事先录音
half-day n.半天工作(或学习)日
dispense vt.  分发, 分配
inedible a.不能吃的，不宜食用的
lure v.  引诱
swiftly ad.  很快地, 即刻
risky a.  危险的
gibbon n.  长臂猿
raccoon n.  <美>[动]浣熊
peep  n./vi.窥视, 偷看
arousal n.  觉醒, 激励
neurotransmitter n.  [生化]神经传递素
avalanche n.雪崩
skyrocket n. 冲天火箭（烟火）
ibex n.  野生山羊
cessation n.  停止
eccentric a.古怪的.n.怪人
sentimental a.感伤的；多愁善感的
iridescent a.闪光的，现晕光的
eocene n./a. 始新世(的)
bowel n.  肠
snowdrift n.雪堆
cleaner n.  清洁工人, 清洁器
accordion n.手风琴
manure n.  肥料
clover n.  [植]三叶草
sanitation n.卫生(设施)
entertainer n.  款待者, 表演娱乐节目的人
violently ad.  猛烈地, 激烈地
masonry n.  石工术, 石匠职业
flexibility n.灵活性, 弹性
obstruct vt.阻塞，堵塞
mediocre a.平庸的
tributary a./n.支流(的)，进贡(的)
choosy a.好挑剔的
distinguishable a.可区别的, 可辨别的
commute v.通勤, 折换.n.乘车上下班
absenteeism n.  旷课, 旷工
pointillist n. 点彩派画家
crudely ad. 粗糙地, 粗鲁地
epistle n. 书信
endotherms n. 温血动物, 恒温动物
disseminate vt.散布，传播
berg n.冰山
corpus n.资料, 文集
unchangeable a.不变的,不能改变的
gel n.  凝胶体 v.  成冻胶
illusory a.虚幻的
sparsely ad.  稀疏地
methyl n.  甲基, 木精
worshipper n.礼拜者
watercourses n.  水流, 河道
receptacle n.  容器
motorcycle n.  摩托车, 机车
chemurgy n.  [化]农业化工,实用化学
imitator n.  模仿者
edifice n.  大厦, 大建筑物
wary a.  机警的
surmise v.  猜测
life-size a. 与实物大小一样的
disdain n. 轻蔑 v. 蔑视
anti n.  反对者 a.  反对的
continuator n.  继续者
grid n.  格子, 栅格
predispose v.(使)易罹患, (使)预先偏向于
aviator n.  飞行员
preposterous a.  荒谬的, 可笑的
subtlety n. 微妙, 精明
streetcar n.  路面电车
oscillate v.  振荡
aptly ad.  适当地,适宜地
underfoot ad.在脚下面, 踩着地
developer n.  开发者
gourd n.  葫芦
pane n.窗格玻璃；长方块
undisputed a.无可置辩的
maneuver n.策略[ pl.]演习 v.(巧妙)控制；用策略
predictability n. 可预见性
celsius a.  摄氏的
revitalization n.  新生 复兴
redbud n.  紫荆属植物
bullrush n.芦苇
speculator n.  投机者
homesteader n.  农场所有权人, 自耕农
nodule n.  节结
skillfully ad.  巧妙地,技术好地
competence n.  能力
dormancy n.  休眠
supposedly ad.推测地, 大概
basketry n. 篓编织品
eukaryotic a.  真核状态的
emulsion n.  乳状液
condensation n.  浓缩
rebound n. /v. 回弹
handmade a.  手工的
iceland n.  冰岛(欧洲岛名,在大西洋北部,近北极圈)
incandescent a.  遇热发光的, 白炽的
implicitly ad. 含蓄地,  暗中地
fanciful a.想像的, 奇怪的
deprecate v. 抨击, 反对
infusion n.  灌输
worsen v. 恶化
portraitist n.  肖像画家
rhythmical a.  节奏的, 合拍的
exploratory a. 勘探的, 探索的
coconut n.  椰子
infancy n.  幼年
visualize vt.想象，设想
credence n.  信任
encase vt.  装入, 包住
bemoan vt.  哀叹
maroon n.  栗色 a.  栗色的
legally ad.  法律上, 合法地
immunity n.  免疫性
tariff n.  关税
